Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs  or       # spec,Seq.     IDs,Filters,Est.  comp.,Mbits,P/B (hrs @8.8 kb/s),P/B (hrs @17.6 kb/s),P/B (hrs @26.4 kb/s),week,Target,Description,Status
,,NIS,16-Dec,350,14:05,0:48,14:53,,,166,,,,0.19,0.0,0.0,0.0,99347,space,LAT_SCANS_OUT,done
End of NIS Low Phase Flyby,,NIS,16-Dec,350,14:56,,,,,,,,,0.00,0.0,0.0,0.0,,,,done
70m downlink track,14,,16-Dec,350,15:30,2:15,17:45,,,,,,,9.20,0.32,0.01,0.00,,,mock LPF - read down twice,
NLR MSI alignment test,,NLR,17-Dec,351,16:00,0:05,16:05,,12,16,17,7,2.5,9.92,0.3,0.2,0.1,99347,undefined,"MSI_NLR_align_test: 4 images taken 1 sec apart in 4 sets. Timed to occur before, during and after 2 8 hz bursts.",done
Opnav D test,,NAV,19-Dec,353,0:00,0:11,0:11,F,12,4,27,0,2.6,2.38,0.1,0.0,0.0,99347,M6,OPDt1:2x2 mosaic,done
Opnav F test,,NAV,19-Dec,353,0:15,0:15,0:30,F,12,6,27,0,2.6,3.58,0.1,0.1,0.0,99347,M6,OPFt1:2x3 mosaic,done
Opnav G test,,NAV,19-Dec,353,0:32,0:15,0:47,F,12,6,27,0,2.6,3.58,0.1,0.1,0.0,99347,M6,OPGt1: 3x2 mosaic ,done
Opnav H test,,NAV,19-Dec,353,0:50,0:17,1:07,F,12,9,27,0,2.6,5.36,0.2,0.1,0.1,99347,M6,OPHt1: 3x3 mosaic,done
Opnav I test,,NAV,19-Dec,353,1:11,0:11,1:22,F,12,2,27,0,2.6,1.19,0.0,0.0,0.0,99347,M6,OPIt1: 1x2 mosaic,done
Opnav J test,,NAV,19-Dec,353,1:24,0:10,1:34,F,12,2,27,0,2.6,1.19,0.0,0.0,0.0,99347,M6,OPJt1: 2x1 mosaic,done
Opnav K 3x2 test,,NAV,19-Dec,353,1:37,0:17,1:54,F,12,6,27,0,2.6,3.58,0.1,0.1,0.0,99347,M6,3x2 mosaic,done
Opnav K 2x3 test,,NAV,19-Dec,353,1:57,0:17,2:14,F,12,6,27,0,2.6,3.58,0.1,0.1,0.0,99347,M6,2x3 mosaic,done
Opnav K 2x2 test,,NAV,19-Dec,353,2:17,0:17,2:34,F,12,4,27,0,2.6,2.38,0.1,0.0,0.0,99347,M6,2x2 mosaic,done
Multispectral Rotation Seq.,,MSI,19-Dec,353,21:00,11:24,8:24,,8,780,18,5,4,302.21,10.6,5.3,3.5,99347,Eros,(TABLE5+FAST),done
,,,,,,,,,12,40,25,0-7,2.5,24.80,0.9,0.4,0.3,99347,Eros,"MSI_MSRot_1: one filter 5 image every 1/2 deg of rot., 7 additional filters every 10 deg for 1.1 Eros rotation each.  Auto exp. (FAST) *EROS = 2 pixels",done
70m downlink track,43,,20-Dec,354,16:25,13:10,5:35,,,,,,,363.75,12.76,6.36,4.26,,,SDC test - read down twice,
NIS Cal target 7,,NIS,11-Jan,011,0:30,0:32,1:02,,,100,,,,0.11,0.0,0.0,0.0,00010,cal target,NIS_Caltarg_7: Standard NIS_CAL,done
Canopus Calibration 4 part b,,MSI,11-Jan,011,1:15,1:00,2:15,,12,640,"3,5,6, 11,12","1,3,4,5,6",2.5,396.75,13.9,6.9,4.6,00010,Canopus,"MSI_Cancal_4b: 16 images slewing across 2 pixels with Canopus, repeat at 8 positions (FAST)",done
70m downlink track,43,,11-Jan,011,16:00,8:00,0:00,,,,,,,396.86,13.92,6.93,4.64,,,,
Canopus Calibration 4 part a,,MSI,12-Jan,012,0:30,1:00,1:30,,12,128,"2,3,4, 5,6,11, 12, 23",0-7,2.5,79.35,2.8,1.4,0.9,00010,Canopus,"MSI_Cancal_4a: 16 images slewing across 2 pixels with Canopus, repeat (filters 0-7) (FAST)",done
MSI Movie 1 (sun roll ref),,MSI,12-Jan,012,4:45,5:54,10:39,,8,794,18,4,4,307.64,10.8,5.4,3.6,00010,Eros,MSI_Movie1: one filter 4 image every 1/2 deg of rot. for 1.1 Eros rotation.  Auto exp. (TABLE5+FAST),done
70m downlink track,43,,12-Jan,012,16:00,8:00,0:00,,,,,,,386.99,13.58,6.76,4.53,,,,
Satellite Search A (sun roll ref),,MSI,13-Jan,013,4:05,3:00,7:05,,12,288,29,0,2.5,178.54,6.3,3.1,2.1,00010,Eros,"MSI_SatSrchA: Take 8 frames(while slewing diagonally across 2x2 pixels) at each of the 6 positions in a 2x3 mosaic centered on Eros. Repeat 5 additional times. Covers 6000x6000 km region. Clr filter, man exp 999 ms,FAST).",done
MSI Multispectral Light Curve 1 (sun roll ref),,MSI,13-Jan,013,12:00,5:54,17:54,,12,104,25,0-7,2.5,64.47,2.3,1.1,0.8,00010,Eros,MSI_MSLtCv1: 8 filters every 30 deg for 1.1 Eros rotation.  Auto exp. (FAST),done
70m downlink track,43,,13-Jan,013,19:20,7:10,2:30,,,,,,,243.01,8.53,4.25,2.84,,,,
Opnav B Prime 100 (sun roll ref),,NAV,14-Jan,014,9:30,0:20,9:50,T,12,8,"8,9,29",0,2.5,9.92,0.3,0.2,0.1,00010,Eros,"OPBP_100:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
70m downlink track,43,,15-Jan,015,19:25,4:15,23:40,,,,,,,9.92,0.35,0.17,0.12,,,,
Opnav B Prime 101 (sun roll ref),,NAV,16-Jan,016,14:00,0:20,14:20,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00010,Eros,"OPBP_101:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
70m downlink track,43,,17-Jan,017,17:30,3:15,20:45,,,,,,,4.96,0.17,0.09,0.06,,,,
MSI Multispectral Light Curve 2,,MSI,18-Jan,018,9:00,5:54,14:54,,12,104,25,0-7,2.5,64.47,2.3,1.1,0.8,00017,Eros,MSI_MSLtCv2: 8 filters every 30 deg for 1.1 Eros rotation.  Auto exp. (FAST),done
70m downlink track,43,,18-Jan,018,16:00,8:00,0:00,,,,,,,64.47,2.26,1.13,0.75,,,,
Opnav B Prime 102,,NAV,19-Jan,019,2:30,0:20,2:50,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00017,Eros,"OPBP_102:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
NIS Low Phase Flyby test 2,,NIS,19-Jan,019,10:00,,,,,,,,,,,,,,,,done
,,NIS,19-Jan,019,10:09,0:14,10:23,,,19,,,,0.02,0.0,0.0,0.0,00017,space,GLOBAL_MAP_50_IN,done
,,NIS,19-Jan,019,10:25,7:30,17:55,,,1707,,,,1.96,0.1,0.0,0.0,00017,space,LAT_SCANS_50-45_IN,done
,,NIS,19-Jan,019,17:59,0:15,18:14,,,36,,,,0.04,0.0,0.0,0.0,00017,space,GLOBAL_MAP_45_IN,done
,,NIS,19-Jan,019,18:20,3:50,22:10,,,842,,,,0.96,0.0,0.0,0.0,00017,space,LAT_SCANS_45-40_IN,done
,,NIS,19-Jan,019,22:15,0:50,23:05,,,1753,,,,2.01,0.1,0.0,0.0,00017,space,FULL_NIXEL_TEST,done
,,NIS,19-Jan,019,23:32,4:35,4:07,,,49,,,,0.06,0.0,0.0,0.0,00017,space,InGas_OPT_LAT_SCAN_40-30_IN,done
,,NIS,20-Jan,020,2:10,0:15,2:25,,,1820,,,,2.08,0.1,0.0,0.0,00017,space,GLOBAL_MAP_40_IN,done
,,NIS,20-Jan,020,2:30,0:30,3:00,,,90,,,,0.10,0.0,0.0,0.0,00017,space,GLOBAL_MAP_30_IN,done
,,NIS,20-Jan,020,3:02,1:00,4:02,,,400,,,,0.46,0.0,0.0,0.0,00017,space,InGas_OPT_LAT_SCAN_30-20_IN,done
,,NIS,20-Jan,020,4:55,2:38,7:33,,,500,,,,0.57,0.0,0.0,0.0,00017,space,GLOBAL_MPPS_IN,done
,,NIS,20-Jan,020,7:56,0:55,8:51,,,228,,,,0.26,0.0,0.0,0.0,00017,space,LOW_PHASE_MPPS,done
,,NIS,20-Jan,020,8:55,1:32,10:27,,,422,,,,0.48,0.0,0.0,0.0,00017,space,GLOBALS_OUT,done
,,NIS,20-Jan,020,11:05,0:48,11:53,,,166,,,,0.19,0.0,0.0,0.0,00017,space,LAT_SCANS_OUT,done
End of NIS Low Phase Flyby,,NIS,20-Jan,020,11:54,,,,,,,,,,,,,,,,done
70m downlink track,14,,20-Jan,020,12:40,2:00,14:40,,,,,,,14.16,0.50,0.09,0.06,,,mock LPF - read down twice,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NLR MSI alignment test,,NLR,21-Jan,21,22:45,0:05,22:50,,12,16,17,7,2.5,9.92,0.3,0.2,0.1,00017,undefined,"MSI_NLR_align_test: 4 images taken 1 sec apart in 4 sets. Timed to occur before, during and after 2 8 hz bursts.",done
70m downlink track,43,,21-Jan,021,20:40,5:30,2:10,,,,,,,9.92,0.35,0.17,0.12,,,,
Opnav B Prime 103,,NAV,22-Jan,022,2:00,0:20,2:20,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00017,Eros,"OPBP_103:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
MSI Movie 3,,MSI,22-Jan,022,5:30,5:54,11:24,,8,780,18,4,4,302.21,10.6,5.3,3.5,00017,Eros,MSI_Movie3: one filter 4 image every 1/2 deg of rot. for 1.1 Eros rotation.  Auto exp. (TABLE5+FAST),done
70m downlink track,43,,22-Jan,022,22:15,4:45,3:00,,,,,,,307.17,10.78,5.37,3.60,,,,
Opnav B Prime 104,,NAV,24-Jan,024,14:00,0:20,14:20,T,12,8,"8,9,29",0,2.5,9.92,0.3,0.2,0.1,00017,Eros,"OPBP_104:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
70m downlink track,43,,24-Jan,024,15:55,4:50,20:45,,,,,,,619.30,21.73,10.82,7.25,,,,
Opnav B Prime 105,,NAV,25-Jan,025,3:00,0:20,3:20,T,12,8,"8,9,29",0,2.5,9.92,0.3,0.2,0.1,00024,Eros,"OPBP_105:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
NIS Nixel Raster Test narrow slit,,NIS,25-Jan,025,3:30,4:25,7:55,,,1350,,,,1.55,0.1,0.0,0.0,00024,Eros,NIS_NixRasTst_narrow: 6x8 mosaic in NIS Narrow slit (25*(14+2+4)),done
MSI Support images of narrow NIS Test,,NIS,25-Jan,025,3:30,4:25,7:55,,8,144,1,4,4,55.79,2.0,1.0,0.7,00024,Eros,MSI_NixRasTst_narrow: 3 images taken at each position of 6x8 mosaic (TABLE5+FAST),done
NIS Nixel Raster Test wide slit,,NIS,25-Jan,025,8:50,4:03,12:53,,,118,,,,0.14,0.0,0.0,0.0,00024,Eros,NIS_NixRasTst_wide: 10x8 mosaic in NIS Wide slit (12*(14+2+4)),done
MSI Support images of wide NIS Test,,NIS,25-Jan,025,8:50,4:03,12:53,,8,240,2,4,4,92.99,3.3,1.6,1.1,00024,Eros,MSI_NixRasTst_wide: 3 images taken at each position in 10x8 mosaic (TABLE5+FAST),done
NIS Cal target 8,,NIS,25-Jan,025,14:30,0:32,15:02,,,100,,,,0.11,0.0,0.0,0.0,00024,cal target,NIS_Caltarg_8: Standard NIS_CAL,done
70m downlink track,43,,25-Jan,025,16:00,8:00,0:00,,,,,,,67.26,2.36,1.15,0.77,,,,
MSI Multispectral Light Curve 3,,,26-Jan,026,2:00,5:54,7:54,,12,104,25,0-7,2.5,64.47,2.3,1.1,0.8,00024,Eros,MSI_MSLtCv3: 8 filters every 30 deg for 1.1 Eros rotation.  Auto exp. (FAST),done
Opnav B Prime 106,,NAV,26-Jan,026,11:00,0:20,11:20,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00024,Eros,"OPBP_106:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
70m downlink track,43,,26-Jan,026,17:35,6:25,0:00,,,,,,,4.96,0.17,0.09,0.06,,,,
Opnav B Prime 107,,NAV,27-Jan,027,14:00,0:20,14:20,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00024,Eros,"OPBP_107:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
70m downlink track,43,,27-Jan,027,20:00,7:15,3:15,,,,,,,4.96,0.17,0.09,0.06,,,,
Satellite Search B (sun roll ref),,MSI,28-Jan,028,8:00,2:36,10:36,,12,168,"7,26",0,2.5,104.15,3.7,1.8,1.2,00024,Eros,"MSI_SatSrchB: Cover region (+/- 125Er) with 7x6 mosaic. Slew so boresight moves 0.01 deg/s in direction that is 3 long pixels by 50 urad in short pix direction. Take 4 pics for each position in mosaic, spaced 3 sec apart. 1 auto, 3 man exp (999ms). (FAST)",done
Opnav B Prime 108,,NAV,28-Jan,028,13:00,0:20,13:20,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00024,Eros,"OPBP_108:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
70m downlink track,43,,28-Jan,028,19:00,7:15,2:15,,,,,,,109.11,3.83,1.91,1.28,,,,
Opnav B Prime 109,,NAV,29-Jan,029,6:00,0:20,6:20,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00024,Eros,"OPBP_109:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
MSI Multispectral Light Curve 4,,MSI,29-Jan,029,8:00,5:54,13:54,,12,104,25,0-7,2.5,64.47,2.3,1.1,0.8,00024,Eros,MSI_MSLtCv4: 8 filters every 30 deg for 1.1 Eros rotation.  Auto exp. (FAST) *EROS= 15 pixels,done
NIS MSLtCv 4,,MSI,29-Jan,029,8:00,5:54,13:54,,,1575,,,,1.80,0.0,0.0,0.0,00024,Eros,NIS_Movie4: Narrow (4x16sec spectra+2 r+4dark) 315 exec. Mp 75,done
70m downlink track,43,,29-Jan,029,16:00,8:00,0:00,,,,,,,69.43,2.44,1.21,0.81,,,,
Opnav B Prime 110,,NAV,30-Jan,030,13:30,0:20,13:50,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00024,Eros,"OPBP_110:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
70m downlink track,43,,30-Jan,030,16:00,8:00,0:00,,,,,,,140.67,4.90,2.45,1.65,,,,
Opnav B Prime 111,,NAV,31-Jan,031,15:05,0:20,15:25,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00024,Eros,"OPBP_111:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
70m downlink track,43,,31-Jan,031,15:45,5:00,20:45,,,,,,,4.96,0.17,0.09,0.06,,,,
NIS Mirror Plane Test,,NIS,31-Jan,031,23:00,2:12,1:12,,,4920,,,,5.64,0.2,0.0,0.0,00031,Eros,"NIS_MirrorPlaneTst: Test Mirror plane alignment  Narrow (486x1), Wide (486x1) positions 45,75,125,175,225",done
MSI Support images,,NIS,31-Jan,031,23:00,2:12,1:12,,8,84,18,0,4,32.55,1.1,0.6,0.4,00031,Eros,MSI_MirrorPlaneSup: images every 12 seconds when NIS on mp 75 (TABLE5+FAST),done
Opnav B Prime 112,,NAV,01-Feb,032,6:00,0:20,6:20,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00031,Eros,"OPBP_112:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
NIS Mirror Geometry Test 1,,NIS,01-Feb,032,6:30,3:00,9:30,,,1857,,,,2.13,0.1,0.0,0.0,00031,Eros,NIS_MirrorGeom1: Test mirror steps; mp 76 to 46 odd and 47 to 75 even; 58 1 second spectra per mirror step,done
MSI Support images 1,,NIS,01-Feb,032,6:30,3:00,9:30,,8,37,18,0,4,14.34,0.5,0.3,0.2,00031,Eros,MSI_MirrorGeomSup1: images every 12 seconds when NIS on mp 72 - 79 (TABLE5+FAST),done
70m downlink track,14,,01-Feb,032,12:40,6:05,18:45,,,,,,,59.60,2.09,0.91,0.61,,,,
Opnav B Prime 113,,NAV,03-Feb,034,10:00,0:20,10:20,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00033,Eros,"OPBP_113:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
RND BURN 1,,,03-Feb,034,17:00,,,,,,,,,,,,,,,,
Opnav B Prime 114,,NAV,03-Feb,034,18:00,0:20,18:20,T,12,8,"8,9,29",0,2.5,9.92,0.3,0.2,0.1,00033,Eros,"OPBP_114:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
Opnav B Prime 115,,NAV,03-Feb,034,21:00,0:20,21:20,T,12,8,"8,9,29",0,2.5,9.92,0.3,0.2,0.1,00033,Eros,"OPBP_115:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
70m downlink track,43,,03-Feb,034,21:30,4:00,1:30,,,,,,,9.92,0.35,0.17,0.12,,,,
Opnav B Prime 116,,NAV,04-Feb,035,1:50,0:20,2:10,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00033,Eros,"OPBP_116:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
MSI NAV Movie,,MSI,04-Feb,035,6:20,5:30,11:50,,8,26,18,4,4,10.07,0.4,0.2,0.1,00033,Eros,MSI_NAVMovie: one filter 4 image every 15 deg of rot. for 1.1 Eros rotation.  Auto exp. (TABLE5+FAST),done
34 m downlink track,63,,04-Feb,035,12:35,7:00,19:35,,,,,,,14.88,0.52,0.26,0.17,,,,
Opnav B Prime 117,,NAV,04-Feb,035,19:55,0:20,20:15,F,12,8,"8,9,29",4,2.3,5.39,0.2,0.1,0.1,00035,Eros,"OPBP_117:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
Opnav B Prime 118,,NAV,05-Feb,036,0:00,0:20,0:20,F,12,8,"8,9,29",4,2.3,5.39,0.2,0.1,0.1,00035,Eros,"OPBP_118:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
NIS Mirror Geometry Test 2,,NIS,05-Feb,036,1:00,3:00,4:00,,,7367,,,,8.44,0.3,0.0,0.0,00035,Eros,NIS_MirrorGeom2: Test mirror steps; mp 75 to 199 odd and 200 to 74 even; 58 1 second spectra per mirror step,done
MSI Support images,,NIS,05-Feb,036,1:00,3:00,4:00,,8,35,18,0,4,13.56,0.5,0.2,0.2,00035,Eros,MSI_MirrorGeomSup2: images every 12 seconds when NIS on mp 72 - 79 (TABLE5+FAST),done
Opnav B Prime 119,,NAV,05-Feb,036,4:55,0:12,5:07,T,12,8,"8,9,29",4,2.3,5.39,0.2,0.1,0.1,00035,Eros,"OPBP_119:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
70m downlink track,63,,05-Feb,036,5:10,6:05,11:15,,,,,,,5.39,0.19,0.09,0.06,,,,
Opnav B Prime 120,,NAV,05-Feb,036,11:35,0:20,11:55,F,12,8,"8,9,29",4,2.3,5.39,0.2,0.1,0.1,00035,Eros,"OPBP_120:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
Opnav B Prime 121,,NAV,05-Feb,036,18:00,0:20,18:20,F,12,8,"8,9,29",4,2.3,5.39,0.2,0.1,0.1,00035,Eros,"OPBP_121:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
Opnav B Prime 122,,NAV,06-Feb,037,1:00,0:20,1:20,F,12,8,"8,9,29",4,2.3,5.39,0.2,0.1,0.1,00035,Eros,"OPBP_122:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
MSI Movie 6,,MSI,06-Feb,037,1:45,5:54,7:39,,8,780,18,4,4,302.21,10.6,5.3,3.5,00035,Eros,MSI_Movie6: one filter 4 image every 1/2 deg of rot. for 1.1 Eros rotation.  Auto exp. (TABLE5+FAST),done
NIS Movie 6,,MSI,06-Feb,037,1:45,5:54,7:39,,,1575,,,,1.80,0.1,0.0,0.0,00035,Eros,NIS_Movie6: Narrow (4x16sec spectra+2 r+4dark) 315 exec. Mp 75,done
MSI Multispectral Light Curve 6,,MSI,06-Feb,037,8:30,5:54,14:24,,12,616,25,0-7,2.5,381.87,13.4,6.7,4.5,00035,Eros,MSI_MSLtCv6: 8 filters every 5 deg for 1.1 Eros rotation.  Auto exp. (FAST) *EROS= 30 pixels,done
Opnav B Prime 123,,NAV,06-Feb,037,17:50,0:12,18:02,F,12,8,"8,9,29",4,2.3,5.39,0.2,0.1,0.1,00035,Eros,"OPBP_123:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
70m downlink track,43,,06-Feb,037,18:05,10:55,5:00,,,,,,,696.67,24.44,12.14,8.13,,,,
Opnav B Prime 126,,NAV,07-Feb,038,5:31,0:20,5:51,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00038,Eros,"OPBP_126:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
Canopus Calibration 5,,MSI,07-Feb,038,6:00,1:00,7:00,,12,128,"2,3,4, 5,6,11, 12, 23",0-7,2.5,79.35,2.8,1.4,0.9,00038,Canopus,"MSI_Cancal_5: 16 images slewing across 2 pixels with Canopus, repeat (filters 0-7) (FAST)",done
NIS Cal target  9,,NIS,07-Feb,038,7:30,0:32,8:02,,,100,,,,0.11,0.0,0.0,0.0,00038,cal target,NIS_Caltarg_9: Standard NIS_CAL,done
Opnav B Prime 127,,NAV,07-Feb,038,8:51,0:20,9:11,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00038,Eros,"OPBP_127:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
Opnav B Prime 128,,NAV,07-Feb,038,13:51,0:20,14:11,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00038,Eros,"OPBP_128:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
34m downlink track,45,,07-Feb,038,17:30,4:00,21:30,,,,,,,94.34,3.31,1.65,1.10,,,,
Opnav B Prime 129,,NAV,08-Feb,039,2:51,0:20,3:11,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00038,Eros,"OPBP_129:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
Opnav B Prime 130,,NAV,08-Feb,039,15:00,0:20,15:20,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00038,Eros,"OPBP_130:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
70m downlink track,43,,08-Feb,039,16:00,6:30,22:30,,,,,,,9.92,0.35,0.17,0.12,,,,
RND BURN 2,,,08-Feb,039,22:00,,,,,,,,,,,,,,,,
Opnav B Prime 131,,NAV,08-Feb,039,22:45,0:20,23:05,T,12,8,"8,9,29",0,2.5,9.92,0.3,0.2,0.1,00038,Eros,"OPBP_131:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
70m downlink track,43,,08-Feb,039,23:30,1:15,0:45,,,,,,,9.92,0.35,0.17,0.12,,,,
Opnav B Prime 132,,NAV,09-Feb,040,2:00,0:20,2:20,T,12,8,"8,9,29",0,2.5,9.92,0.3,0.2,0.1,00038,Eros,"OPBP_132:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms",done
34m downlink track,65,,09-Feb,040,5:35,2:00,7:35,,,,,,,9.92,0.35,0.17,0.12,,,,
Opnav B Prime 133,,NAV,09-Feb,040,7:25,0:20,7:45,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00038,Eros,"OPBP_133:8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
Multispectral Light Curve 7,,MSI,09-Feb,040,8:15,5:58,14:13,,12,104,25,0-7,2.5,64.47,2.3,1.1,0.8,00038,Eros,MSI_MSLtCv7: 8  filters every 30 deg for 1.1 Eros rotation.  Auto exp. (FAST) *EROS = 50 pixels,done
Opnav B Prime 134,,NAV,09-Feb,040,14:51,0:20,15:11,F,12,8,"8,9,29",0,2.5,4.96,0.2,0.1,0.1,00038,Eros,"OPBP_134: 8 clr filter images 5 exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
